"sar_id","reporting_institution_id","reporting_institution_name","reporting_institution_type","filing_date","activity_start_date","activity_end_date","subject_id","subject_name","subject_type","subject_national_id","subject_date_of_birth","subject_address_street","subject_address_city","subject_address_state","subject_address_postal_code","subject_address_country","transaction_id","transaction_date","transaction_amount","transaction_currency","transaction_type","money_laundering_indicators","suspicious_activity_description","investigation_status","investigation_outcome","reported_to_fiu","fiu_report_id","fiu_report_date","reporting_officer_id","reporting_officer_name","reporting_officer_contact"
"SAR20240015","BANK015","Sun Valley Bank","bank","2024-01-20","2024-01-12","2024-01-19","SUBJ1015","Maria Johnson","individual","US123456789","1992-09-14","230 Pine St","Chicago","IL","60603","USA","TXN00015","2024-01-19","15400","USD","wire_transfer","new_account, rapid_movement","Wire transfer made soon after account opening by young individual, flagged for review.","pending","other","false","","","EMP0015","David Perez","david.perez@sunvalleybank.com"
"SAR20240016","MSB016","Pacific Money Services","money_service_business","2024-02-24","","","SUBJ1016","Orion Trust","trust","","","101 Collins St","Sydney","NSW","2000","AUS","TXN00016","2024-02-23","1500000","AUD","exchange","high_value, offshore_connection","Trust entity engaged in large-scale currency conversion, flagged for links to offshore entities.","ongoing","further_monitoring","true","FIU20240009","2024-02-25","EMP0016","Sophie Evans","sophie.evans@pacificms.com.au"
"SAR20240017","BANK017","Great Lakes Bank","bank","2024-03-30","2024-03-18","2024-03-29","SUBJ1017","Patricia Brown","individual","US987654321","1977-07-11","17 Lake Dr","Cleveland","OH","44113","USA","TXN00017","2024-03-29","68000","USD","wire_transfer","unusual_large_transfer, new_account","Wire transfer of significant value made by individual with limited prior activity, flagged for review.","ongoing","further_monitoring","true","FIU20240010","2024-04-02","EMP0017","Tom Harris","tom.harris@greatlakesbank.com"
"SAR20240018","BANK018","Summit Bank","bank","2024-01-25","2024-01-21","2024-01-24","SUBJ1018","Aurora Consulting","company","FRA998877","","12 Rue de Rivoli","Paris","IDF","75001","FRA","TXN00018","2024-01-24","7100","EUR","payment","frequent_deposits, unexplained_funds","Company received multiple payments from unrelated sources in a single week, flagged for review.","closed","no_action","false","","","EMP0018","Pierre Dupont","pierre.dupont@summitbank.fr"
"SAR20240019","BANK019","Alpine Bank","bank","2024-02-27","2024-02-24","2024-02-26","SUBJ1019","Maximilian Fischer","individual","AT987654321","1968-05-18","1 Graben","Vienna","MZ","1010","AUT","TXN00019","2024-02-26","4250","EUR","withdrawal","low_value, frequent_small_payments","Numerous small withdrawals performed by individual, flagged for possible structuring.","pending","other","false","","","EMP0019","Anna Bauer","anna.bauer@alpinebank.at"
"SAR20240020","BANK020","Northern Star Bank","bank","2024-03-09","2024-03-01","2024-03-08","SUBJ1020","Helios Partners","partnership","","","210 Bay St","Toronto","ON","M5J 2N8","CAN","TXN00020","2024-03-08","195000","CAD","wire_transfer","layering, rapid_investment","Partnership transferred significant funds to investment account, unclear source of funds.","referred","further_monitoring","true","FIU20240011","2024-03-11","EMP0020","Liam O'Brien","liam.obrien@nstarbank.ca"
"SAR20240021","CRU021","Greenfield Credit Union","credit_union","2024-04-12","","","SUBJ1021","Sophia Martinez","individual","US241578963","1990-05-18","77 Oak Ave","Austin","TX","78701","USA","TXN00021","2024-04-12","33000","USD","cash_deposit","unusual_large_transfer, new_account","Individual made large cash deposit into new account, flagged for review due to risk indicators.","ongoing","further_monitoring","true","FIU20240012","2024-04-15","EMP0021","Helen Carter","helen.carter@greenfieldcu.com"
"SAR20240022","BANK022","Maple Leaf Bank","bank","2024-01-28","2024-01-19","2024-01-27","SUBJ1022","Cascade Investments","company","CAN987654","","300 Front St","Toronto","ON","M5V 0E9","CAN","TXN00022","2024-01-27","6700","CAD","cash_deposit","frequent_deposits, unexplained_funds","Company received multiple cash deposits in short time, flagged for unusual activity.","closed","no_action","false","","","EMP0022","Julie Chan","julie.chan@mapleleafbank.ca"
"SAR20240023","BANK023","Blue Ridge Bank","bank","2024-02-10","2024-02-07","2024-02-09","SUBJ1023","Nathaniel Reed","individual","US357159486","1994-08-22","41 Maple Rd","Denver","CO","80203","USA","TXN00023","2024-02-09","9000","USD","wire_transfer","rapid_movement, unusual_large_transfer","Wire transfer made by individual with limited account history, flagged for possible money laundering.","pending","other","false","","","EMP0023","Megan Foster","megan.foster@blueridgebank.com"
"SAR20240024","BANK024","Citadel Bank","bank","2024-03-12","2024-03-01","2024-03-10","SUBJ1024","Evergreen Holdings","company","AUS876543","","88 George St","Sydney","NSW","2000","AUS","TXN00024","2024-03-10","5900","AUD","payment","frequent_deposits, unexplained_funds","Company received multiple payments from unrelated parties, flagged for review.","closed","no_action","false","","","EMP0024","Matthew Allen","matthew.allen@citadelbank.com.au"
"SAR20240025","BANK025","Western Trust Bank","bank","2024-02-02","","","SUBJ1025","Lunar Trust","trust","","","11 Wall St","New York","NY","10005","USA","TXN00025","2024-02-02","2000000","USD","exchange","high_value, offshore_connection","Trust exchanged large sum in USD, flagged for links to offshore entities.","referred","prosecution","true","FIU20240013","2024-02-04","EMP0025","Angela Scott","angela.scott@westerntrust.com"
"SAR20240026","BRK026","Summit Brokerage","brokerage","2024-03-01","2024-02-20","2024-02-28","SUBJ1026","NorthStar Partnership","partnership","","","500 17th St","Denver","CO","80202","USA","TXN00026","2024-02-28","210000","USD","wire_transfer","layering, rapid_investment","Partnership performed wire transfer of significant value, source of funds unclear.","referred","further_monitoring","true","FIU20240014","2024-03-03","EMP0026","Charles Murphy","charles.murphy@summitbr.com"
"SAR20240027","BANK027","Premier Bank","bank","2024-04-05","2024-03-24","2024-04-03","SUBJ1027","Olivia Reed","individual","US456123789","1991-04-06","56 Spruce St","Dallas","TX","75201","USA","TXN00027","2024-04-03","18000","USD","cash_deposit","unusual_large_transfer, new_account","Large cash deposit made by new customer, flagged for review due to risk indicators.","ongoing","further_monitoring","true","FIU20240015","2024-04-07","EMP0027","Pamela Owens","pamela.owens@premierbank.com"
"SAR20240028","BANK028","Eurozone Bank","bank","2024-02-16","2024-02-09","2024-02-15","SUBJ1028","Isabelle Moreau","individual","FR987456321","1967-10-19","54 Avenue Montaigne","Paris","IDF","75008","FRA","TXN00028","2024-02-15","3200","EUR","withdrawal","low_value, frequent_small_payments","Subject withdrew small amounts repeatedly, flagged for possible structuring.","pending","other","false","","","EMP0028","Jean Lefevre","jean.lefevre@eurozonebank.fr"
"SAR20240029","BANK029","Emerald Bank","bank","2024-03-15","","","SUBJ1029","Stellar Investment Trust","trust","","","19 Park Lane","London","LDN","W1K 1LB","GBR","TXN00029","2024-03-13","5600000","GBP","exchange","high_value, complex_transaction","Trust exchanged large sums in GBP, flagged for lack of economic rationale.","referred","prosecution","true","FIU20240016","2024-03-17","EMP0029","Richard Scott","richard.scott@emeraldbank.co.uk"
"SAR20240030","BANK030","Pacific Island Bank","bank","2024-04-13","2024-04-07","2024-04-12","SUBJ1030","Ming Lee","individual","HK987654321","1989-02-13","22 Nathan Rd","Hong Kong","HK","999077","HKG","TXN00030","2024-04-12","120000","HKD","wire_transfer","rapid_movement, unusual_large_transfer","Wire transfer made by individual with limited account activity, flagged for review.","ongoing","further_monitoring","true","FIU20240017","2024-04-15","EMP0030","Vivian Chan","vivian.chan@pacificislandbank.hk"
"SAR20240031","MSB031","GlobalFX Exchange","money_service_business","2024-01-13","2024-01-09","2024-01-12","SUBJ1031","Cosmos Trust","trust","","","100 Bahnhofstrasse","Zurich","ZH","8001","CHE","TXN00031","2024-01-12","10000000","CHF","exchange","high_value, offshore_connection","Trust entity conducted massive foreign exchange, flagged for links to offshore entities.","ongoing","further_monitoring","true","FIU20240018","2024-01-15","EMP0031","Andreas Meyer","andreas.meyer@globalfx.ch"
"SAR20240032","CRU032","Central Credit Union","credit_union","2024-03-19","2024-03-12","2024-03-17","SUBJ1032","Daniel Evans","individual","CA123456789","1983-12-06","9 Yonge St","Toronto","ON","M5E 1W7","CAN","TXN00032","2024-03-16","45000","CAD","cash_deposit","unusual_large_transfer, new_account","Large cash deposit made by new member, flagged for review due to risk indicators.","ongoing","further_monitoring","true","FIU20240019","2024-03-21","EMP0032","Lauren King","lauren.king@centralcu.ca"
"SAR20240033","BANK033","Frontier Bank","bank","2024-03-22","2024-03-14","2024-03-20","SUBJ1033","Ethan Williams","individual","US852963741","1996-01-18","34 Cedar St","Seattle","WA","98104","USA","TXN00033","2024-03-19","72000","USD","wire_transfer","rapid_movement, unusual_large_transfer","Wire transfer made by individual with limited prior activity, flagged for review.","ongoing","further_monitoring","true","FIU20240020","2024-03-25","EMP0033","Michael Lee","michael.lee@frontierbank.com"
"SAR20240034","BANK034","Harbor Bank","bank","2024-01-16","2024-01-08","2024-01-13","SUBJ1034","Lars Johansson","individual","SE123456789","1949-08-15","27 Drottninggatan","Stockholm","ST","11151","SWE","TXN00034","2024-01-13","800","EUR","payment","low_value, unexplained_transfer","Small payment made to third party, flagged for high frequency and lack of stated purpose.","closed","no_action","false","","","EMP0034","Erik Nilsson","erik.nilsson@harborbank.se"
"SAR20240035","BANK035","Aspire Bank","bank","2024-02-14","","","SUBJ1035","Zenith Trust","trust","","","55 Sheikh Zayed Rd","Dubai","DU","00000","ARE","TXN00035","2024-02-13","9800000","AED","exchange","high_value, offshore_connection","Trust exchanged enormous sum in AED, flagged for links to offshore entities.","referred","prosecution","true","FIU20240021","2024-02-16","EMP0035","Mohammed Al-Farsi","mohammed.alfarsi@aspirebank.ae"
"SAR20240036","BANK036","Liberty Bank","bank","2024-03-25","2024-03-17","2024-03-24","SUBJ1036","Caroline Smith","individual","US741852963","1973-11-29","60 Oak St","Boston","MA","02108","USA","TXN00036","2024-03-24","46000","USD","cash_deposit","unusual_large_transfer, new_account","Large cash deposit made by individual with limited prior history, flagged by system.","ongoing","further_monitoring","true","FIU20240022","2024-03-27","EMP0036","Karen Bell","karen.bell@libertybank.com"
"SAR20240037","MSB037","Rapid Transfer","money_service_business","2024-02-26","","","SUBJ1037","Equinox Trust","trust","","","123 Tripoli St","Istanbul","TI","34400","TUR","TXN00037","2024-02-25","4500000","TRY","exchange","high_value, offshore_connection","Trust exchanged large sum in TRY, flagged for links to offshore entities.","ongoing","further_monitoring","true","FIU20240023","2024-02-28","EMP0037","Leyla Yildiz","leyla.yildiz@rapidtransfer.com.tr"
"SAR20240038","BANK038","Central Bank","bank","2024-02-19","2024-02-10","2024-02-18","SUBJ1038","William Turner","individual","US963258741","1998-03-12","101 5th Ave","San Francisco","CA","94103","USA","TXN00038","2024-02-18","135000","USD","wire_transfer","rapid_movement, unusual_large_transfer","Wire transfer made by young individual with limited account history, flagged for review.","ongoing","further_monitoring","true","FIU20240024","2024-02-22","EMP0038","Steven Clark","steven.clark@centralbank.com"
"SAR20240039","BANK039","Summit Bank","bank","2024-03-04","","","SUBJ1039","Nova Partnership","partnership","","","400 Market St","San Francisco","CA","94111","USA","TXN00039","2024-03-04","280000","USD","wire_transfer","layering, rapid_investment","Partnership transferred significant funds, source unclear, flagged for review.","referred","further_monitoring","true","FIU20240025","2024-03-07","EMP0039","Brian Stewart","brian.stewart@summitbank.com"
"SAR20240040","BANK040","Silverline Bank","bank","2024-01-30","2024-01-24","2024-01-29","SUBJ1040","Elena Rossi","individual","IT987654321","1975-02-18","18 Via Roma","Milan","MI","20121","ITA","TXN00040","2024-01-29","900","EUR","payment","low_value, unexplained_transfer","Small payment made to third party, flagged for high frequency and lack of stated purpose.","closed","no_action","false","","","EMP0040","Giuseppe Moretti","giuseppe.moretti@silverlinebank.it"
"SAR20240041","BANK041","Atlantic Bank","bank","2024-03-07","","","SUBJ1041","Summit Investment Trust","trust","","","200 Bishopsgate","London","LDN","EC2M 4NR","GBR","TXN00041","2024-03-07","8900000","GBP","exchange","high_value, offshore_connection","Trust exchanged large sum, flagged for links to offshore accounts.","referred","prosecution","true","FIU20240026","2024-03-10","EMP0041","James Turner","james.turner@atlanticbank.co.uk"
"SAR20240042","BANK042","National Bank","bank","2024-04-11","2024-04-06","2024-04-10","SUBJ1042","Alexander Popov","individual","RU654789321","1971-04-11","12 Tverskaya St","Moscow","MOW","101000","RUS","TXN00042","2024-04-10","2100","RUB","withdrawal","low_value, frequent_small_payments","Subject withdrew small amounts repeatedly, flagged for possible structuring.","closed","no_action","false","","","EMP0042","Svetlana Ivanova","svetlana.ivanova@nationalbank.ru"
"SAR20240043","BANK043","Golden State Bank","bank","2024-02-20","2024-02-10","2024-02-19","SUBJ1043","Benjamin Wright","individual","US369258147","1982-05-24","85 Mission St","San Francisco","CA","94105","USA","TXN00043","2024-02-19","78000","USD","wire_transfer","rapid_movement, unusual_large_transfer","Wire transfer made by individual with limited prior history, flagged for review.","ongoing","further_monitoring","true","FIU20240027","2024-02-23","EMP0043","Jennifer Adams","jennifer.adams@goldenstatebank.com"
"SAR20240044","BANK044","Redwood Bank","bank","2024-03-14","2024-03-04","2024-03-13","SUBJ1044","Everest Holdings","company","CH987654321","","23 Paradeplatz","Zurich","ZH","8002","CHE","TXN00044","2024-03-13","5100","CHF","payment","frequent_deposits, unexplained_funds","Company received multiple payments in CHF from unrelated sources, flagged for review.","closed","no_action","false","","","EMP0044","Martina Schmid","martina.schmid@redwoodbank.ch"
"SAR20240045","BANK045","Sunrise Bank","bank","2024-01-21","2024-01-13","2024-01-20","SUBJ1045","Diana King","individual","US147258369","1995-07-10","88 Broadway","New York","NY","10007","USA","TXN00045","2024-01-20","62000","USD","wire_transfer","unusual_large_transfer, new_account","Wire transfer made by young individual shortly after account opening, flagged for review.","ongoing","further_monitoring","true","FIU20240028","2024-01-23","EMP0045","Daniel Brown","daniel.brown@sunrisebank.com"
"SAR20240046","BANK046","Premier Bank","bank","2024-04-14","","","SUBJ1046","Atlas Partnership","partnership","","","56 Spruce St","Dallas","TX","75201","USA","TXN00046","2024-04-14","175000","USD","wire_transfer","layering, rapid_investment","Partnership transferred significant funds, source unclear, flagged for review.","referred","further_monitoring","true","FIU20240029","2024-04-17","EMP0046","Pamela Owens","pamela.owens@premierbank.com"
"SAR20240047","BANK047","Crescent Bank","bank","2024-03-16","2024-03-08","2024-03-14","SUBJ1047","Joseph Hill","individual","US951753852","1957-10-12","120 Main St","Portland","OR","97204","USA","TXN00047","2024-03-14","1100","USD","withdrawal","low_value, frequent_small_payments","Small withdrawals performed frequently, flagged for possible structuring.","closed","no_action","false","","","EMP0047","Rachel Adams","rachel.adams@crescentbank.com"
"SAR20240048","BANK048","United Bank","bank","2024-02-18","2024-02-08","2024-02-17","SUBJ1048","Sophie Watson","individual","US753951456","1993-05-05","34 Lincoln Ave","Houston","TX","77002","USA","TXN00048","2024-02-17","45000","USD","wire_transfer","unusual_large_transfer, new_account","Wire transfer made by young individual with limited prior activity, flagged for review.","ongoing","further_monitoring","true","FIU20240030","2024-02-20","EMP0048","Samuel Lee","samuel.lee@unitedbank.com"
"SAR20240049","BANK049","Pinnacle Bank","bank","2024-03-10","","","SUBJ1049","Solstice Partnership","partnership","","","88 Broadway","New York","NY","10007","USA","TXN00049","2024-03-10","190000","USD","wire_transfer","layering, rapid_investment","Partnership transferred substantial funds, source unclear, flagged for review.","referred","further_monitoring","true","FIU20240031","2024-03-13","EMP0049","Brian Stewart","brian.stewart@pinnaclebank.com"
"SAR20240050","BANK050","Evergreen Bank","bank","2024-01-17","2024-01-08","2024-01-16","SUBJ1050","Lucas Wright","individual","US456789321","1990-12-28","17 Lake Dr","Cleveland","OH","44113","USA","TXN00050","2024-01-16","89000","USD","wire_transfer","unusual_large_transfer, new_account","Wire transfer made by individual with limited prior activity, flagged for review.","ongoing","further_monitoring","true","FIU20240032","2024-01-19","EMP0050","Tom Harris","tom.harris@evergreenbank.com"
"SAR20240151","BNK0039","Northern Trust Bank","bank","2024-03-14","2024-01-30","2024-03-10","SUBJ1061","Christopher R. Evans","individual","487293015","1985-11-03","800 Broadway Ave","Austin","TX","78701","USA","TXN0051","2024-03-09","52895.22","USD","wire_transfer","rapid_movement, unusual_large_transfer","Subject initiated a wire transfer of above-normal value with rapid movement between accounts. No clear explanation provided for origin of funds.","ongoing","further_monitoring","true","FIU20240151","2024-03-15","EMP0061","Megan Castillo","megan.castillo@northerntrust.com"
"SAR20240152","CU0052","Horizon Community Credit Union","credit_union","2024-04-06","2024-03-22","2024-04-04","SUBJ1062","Jiahao Li","individual","914378220","1991-07-13","2300 Pine Street","Seattle","WA","98101","USA","TXN0052","2024-03-29","18420.15","USD","cash_deposit","frequent_deposits, new_account","Multiple cash deposits made within a short period after opening a new account, consistent with structuring behavior.","pending","further_monitoring","false","","","EMP0062","Reed Morrison","reed.morrison@horizoncu.org"
"SAR20240153","MSB0041","Global Remit Services","money_service_business","2024-05-03","2024-04-13","2024-05-01","SUBJ1063","Alpine Oil Holdings","company","CO-4327019","","88 Fleet Street","London","LDN","EC4Y 1AE","GBR","TXN0053","2024-04-28","2170000","GBP","exchange","high_value, offshore_connection","Large exchange transaction routed through offshore accounts, no transparent business justification for the transfer.","referred","prosecution","true","FIU20240153","2024-05-04","EMP0063","Liam Patel","liam.patel@globalremit.co.uk"
"SAR20240154","BNK0048","Pacific State Bank","bank","2024-02-17","2024-01-30","2024-02-12","SUBJ1064","Olga Vasilieva","individual","733920180","1951-06-19","15 Nevsky Prospect","Saint Petersburg","SPB","191025","RUS","TXN0054","2024-02-11","950","RUB","withdrawal","low_value, frequent_small_payments","Frequent small withdrawals inconsistent with the subject's typical banking activity, possible layering strategy.","closed","no_action","false","","","EMP0064","Natalia Petrovna","+7-812-390-8840"
"SAR20240155","BK0243","Swiss Alpine Bank","bank","2024-04-26","2024-04-01","2024-04-22","SUBJ1065","Helvetia Trust","trust","TR-910247","","5 Bahnhofstrasse","Zurich","ZH","8001","CHE","TXN0055","2024-04-21","4500000","CHF","exchange","complex_transaction, layering","Trust account executed multiple high-value exchange transactions involving complex layering across jurisdictions.","ongoing","further_monitoring","true","FIU20240155","2024-04-27","EMP0065","Lukas Steiner","lukas.steiner@swissalpine.ch"
"SAR20240156","INS0032","TrustLife Insurance AG","insurance_company","2024-03-18","2024-02-05","2024-03-14","SUBJ1066","Pacific Holdings Group","company","CO-2021059","","200 Market Lane","Sydney","NSW","2000","AUS","TXN0056","2024-03-10","1200000","AUD","exchange","high_value, offshore_connection","Company rapidly moved large funds overseas via insurance settlement, with no clear business reason.","referred","further_monitoring","true","FIU20240156","2024-03-19","EMP0066","Ella Nguyen","ella.nguyen@trustlife.com"
"SAR20240157","BRK0047","Sunrise Brokerage Ltd.","brokerage","2024-05-12","2024-04-14","2024-05-09","SUBJ1067","Trident Partners LLC","partnership","PT-293105","","100 Bay Street","Toronto","ON","M5J 2T6","CAN","TXN0057","2024-05-08","285000","CAD","wire_transfer","layering, rapid_investment","Partnership transferred large funds through brokerage accounts, rapid investment activity indicative of layering.","referred","prosecution","true","FIU20240157","2024-05-13","EMP0067","Alexandra Rios","alex.rios@sunrisebrokers.ca"
"SAR20240158","BNK0040","First Continental Bank","bank","2024-03-25","2024-03-02","2024-03-24","SUBJ1068","Madison F. Price","individual","289170432","1997-02-16","400 Market Place","Denver","CO","80202","USA","TXN0058","2024-03-23","31780","USD","payment","unexplained_transfer, rapid_movement","Large payment made to a third party with limited explanation, funds originated from multiple sources.","ongoing","further_monitoring","false","","","EMP0068","Brian Petty","brian.petty@fcbank.com"
"SAR20240159","CU0053","River Valley Credit Union","credit_union","2024-02-05","2024-01-10","2024-02-03","SUBJ1069","Sofia M. Delgado","individual","602813197","1960-12-21","92 Elm Drive","Miami","FL","33101","USA","TXN0059","2024-01-31","850.5","USD","withdrawal","frequent_small_payments, low_value","Frequent withdrawal transactions below reporting threshold detected, suggesting structuring.","closed","no_action","false","","","EMP0069","Matthew Sloan","msloan@rivervalleycu.org"
"SAR20240160","MSB0042","East Asia Money Exchange","money_service_business","2024-05-19","2024-05-02","2024-05-17","SUBJ1070","Hong Kong Investment Trust","trust","TR-478202","","22 Queen's Road Central","Hong Kong","HK","00001","HKG","TXN0060","2024-05-16","2998000.2","HKD","exchange","offshore_connection, high_value","Trust transferred large amounts via exchange, funds routed through multiple offshore entities.","ongoing","further_monitoring","true","FIU20240160","2024-05-20","EMP0070","Chun Lee","chun.lee@eamoney.hk"
"SAR20240161","INS0033","Evergreen Insurance","insurance_company","2024-03-22","","","SUBJ1071","Devika Banerjee","individual","116930284","1995-04-20","48 Laxmi Nagar","Delhi","DL","110092","IND","TXN0061","2024-03-21","39300","INR","cash_deposit","new_account, rapid_movement","Subject deposited significant cash immediately after insurance payout, source unclear.","pending","further_monitoring","false","","","EMP0071","Sanjay Kumar","+91-98110-29384"
"SAR20240162","BRK0048","Blue Ridge Brokerage","brokerage","2024-02-25","2024-01-29","2024-02-21","SUBJ1072","Eclipse Ventures Ltd.","company","CO-1082736","","2300 Rue Saint-Denis","Montreal","QC","H2X 3K9","CAN","TXN0062","2024-02-20","8300","CAD","payment","unexplained_funds, rapid_turnover","Company made frequent payments with unexplained origin of funds, consistent with rapid turnover activity.","ongoing","further_monitoring","false","","","EMP0072","Lucas Martel","lucas.martel@blueridgebrokers.ca"
